Text;Sentimen
Smg luar PJawaBali segera menjadi Level3;netral
Pemerintah kembali memperpanjang Pemberlakukan Pembatasan Kegiatan Masyarakat PPKM di Jawa dan Bali hingga 5 Desember mendatang;netral
WHO berubah jadi menkes Tahopo o WHO kok meng PPKM kan dgn level 1 pas G20 kok mbideg mingkin cangkem e hehopo Kowe sing mbandani kesehatan e Endonesa hehprejengan mu sok koyok ta;negatif
ppkm kan belajar online malah makin gaenak dan kesepian bgt krn gaada temen gaada hiburan ke kantin maunya mungkin free dulu misal libur semesternya ditambahin atau tugasnya jgn banyak banyak gt kak;negatif
ppkm anying;negatif
Problem  media yang mereka kuasai propaganda  kebijakan mencekik;negatif
React  masyarakat ketakutan langsung comply;negatif
PPKM mencegah penyebaran Covid;positif
Alasan ppkm ga buyar buyar ya anggarannya cair terus masyarakat kena tumbal kelakuannya ngomong inflasi t41 kucing http…;negatif
pada hari Jumat 25 November 2022  Pkl 0830 WIB  sd selesai telah dilaksanakan Giat patroli  Pelaksanaan PPKM LEVEL I membatasi Mobilitas Perpindahan Masyarakat dan Monitoring SPBU bertempat di wilayah kecamatan Tanon;netral
enggaa udah ngerasain pas jaman ppkm  jdi persesi gitu jujur ada di rumah terus terusan bikin aku stress banget  jadi mending sekolah aja full trus sabtu minggu libur;negatif
Wisudaan tahun ini ngundang 3 band anjir pas angkatan gw kaku banget krn masih ppkm;netral
Awal2 pantun itu ya fans Jesslyn pantun ada ayam jualan Jesslyn selamat malah Jesslyn itu juga pantun spo…;netral
pelaksanaan giat KRYD Patroli skala sedang Penegakkan prokes PPKM Lvl 2 dan Jaya 21 di wilkum Polsek Jatisampurna Pimpinan Kapolsek Jatisampurna Iptu Santri Dirga Setadatri STK SIK 241122;netral
Giat Apel malam Persiapan Operasi Jaya 21 Patroli Skala Sedang dan Operasi Yustisi PPKM Level 2 serta KRYD di pimpin IPTU SANTRI DIRGA SETADATRI STK SIK Kapolsek Jatisampurna 241122;netral
Giat  Patroli  dalam rangka  Pelaksanaan PPKM LEVEL I membatasi Mobilitas Perpindahan Masyarakat bertempat di Wilayah Kecamatan Masaran;netral
Membaca beragam indikator pariwisata tandatanda pemulihan terlihat nyata di Indonesia Tahun ini seiring dilonggarkannya PPKM dan dibukanya perbatasan jumlah penumpang pesawat dan kereta meningkat Benarkah telah terjadi revenge tourism;positif
KNP MALAH PPKM;negatif
org2 ppkm sedih kan harus d rumah terus bagi saya surgaaaaa ga harus ketemu manusia2 d kamar kosan bersama laptop dan lagu galau mengalun;positif
PPKM kali sangat dibutuh warga indonesia agar varian baru tidak ada;positif
Jam jam gabut ppkm;negatif
DITAMBAH INI SENIOR GUE ANEH ANEH AJA MINTA KURMA SAMA COKLAT ARAB ANYIING GUE NANYA AJA PPKM KDNDHRB;netral
Giat  patroli gabungan dalam rangka  Pelaksanaan PPKM LEVEL 1 membatasi mobilitas perpindahan masyarakat dan pemantauan SPBU  di wilayah kecamatan Sumberlawang;netral
Giat  patroli gabungan bersama Polsek Sumberlawang dalam rangka  Pelaksanaan PPKM LEVEL I membatasi Mobilitas Perpindahan Masyarakat dan bertempat di wilayah kecamatan Sumberlawang;netral
pada hari Kamis tanggal 24 Nopember 2022 Pkl 2000 WIB sd selesai telah dilaksanakan  Giat  Patroli  dalam rangka  Pelaksanaan PPKM LEVEL I membatasi Mobilitas Perpindahan Masyarakat bertempat di Wilayah Kecamatan Masaran;netral
Mau PPKM ya berarti;netral
Serka Anto JP Serka Noer Amin dan Bripka Agtri Utomo dilaksanakan kegiatan patroli PPKM level 1 dan Monitoring antrian BBM di SPBU diwilayah Kec Sukodono;netral
ppkm sendirian;netral
Menunggu update ayank nya masing2 aku akan menikmati ppkm ini dengan baik;positif
Iya dulu wkt lagi zaman ppkm tapi skrng udah ga prnh nton Drakor ga sempat;netral
udah memenya mewakili banget nder makanya lagi lari ke grup lain dulu selama ppkm;netral
Bener tuh selain waktu biaya juga Taksi dalkot jakarta ke CGK 200rb Naik bus bandara CGK ke kota sekitar tarifnya juga masih tarip PPKM level 3 Dulu CGK ke Blok M 45 rb skrg masih 75 rb;negatif
Jiah ppkm sendiri ya;netral
Gak pake masker Tidak menjaga jarak Jalan bergandengan semua org bersemangat dan bergembira Indonesia masih PPKM msh k…;negatif
Pada Kamis 24 Nopember 2022 Pkl 2000 WIB sd selesai telah dilaksanakan Giat  patroli gabungan bersama Polsek Sumberlawang dalam rangka  Pelaksanaan PPKM LEVEL I membatasi Mobilitas Perpindahan Masyarakat dan bertempat di wilayah kecamatan Sumberlawang;netral
Dikantor Covid udah mulai banyak yang kena lagi konser ditangsel tiba tiba dibatalin  semoga aja kedepannya gak ada lagi ppkm dll Masalahnya belum kesampean buat nonton Dewa19;netral
Mau jadi kucing aja biar bisa PPKM tapi tetep gemesh;netral
jenuh kegiatan nya ya jbjb mutual upchar trus ngetweet pagi siang malam rep nick yang jb 200 an pegel tapi lumayan ada kerjaan dikala PPKM plonga plono kayak monyek;netral
Dinas kesehatan provinsi DKI Jakarta memprediksi puncak lonjakan kasus infeksi Covid19 di DKI Jakarta akan terjadi pada akhir November inipemprov DKI Jakarta antisipasi terjadinya lonjakan kasus Covid19 pada akhir November iniada kemungkinan besar status PPKM di naikkan;netral
Menteri kesehatan RI menyatakan bahwa kasus harian Covid19 di DKI Jakarta telah menembus angka 3018 kasus pada Kamis kemarindan sudah ke level 3 atau setara dengan zona merah Covid19 ada kemungkinan besar DKI Jakarta akan di naikkan ke PPKM level 3;netral
Ya betul lihat gelaran piala dunia Qatar sdh tdk ada lagi covad covid la kok di mari masih paksakan ppkm;negatif
btull malah udh ppkm level 2 lgi;negatif
Giat Patroli PPKM Level 1 dan Monitoring antrian BBM SPBU di wilayah Kec Kalijambe Anggota Koramil 18Kalijambe dalam rangka Pemantauan Inflasi BBM;netral
Gak pake masker Tidak menjaga jarak Jalan bergandengan semua org bersemangat dan bergembira Indonesia masih PPKM msh kena prank ama covid Bgtu pun dgn kakak besar nya china  blum ada 1 org presiden passoff gegara covid yaa just info aja for you all guys;negatif
nah this one is not maru ini kucing ppkm yang rame di base;netral
Kalau iya masih kesulitan pantau karyawan selama WFH;negatif
halah ppkm mulu kek ga abis2 dah ni kopit;negatif
Tkt bet ppkm pt2 naudzubillah jauhkan ya Allah;negatif
Maaf lagi ppkm;netral
ABAAANG MARI KITA DEKETAN KARNA UDAH GA PPKM LAGI;netral
ppkm apaan;negatif
harini ini cuma bisa ppkm;negatif
Aku masih stuck sama masa² precovid Dari awal covid muncul sampe sekarang semua terasa serba cepat dab ga ada moment berharga bareng temen karena kita berpisah pas PPKM;negatif
aduh aku banyakan ppkm hari ini kak kk gimana;netral
Kamis  24 November 2022 Pkl 2100 WIB  sd selesai telah dilaksanakan Giat  patroli dalam rangka  Pelaksanaan PPKM LEVEL 1 membatasi Mobilitas Perpindahan Masyarakat bertempat di wilayah kecamatan Miri;netral
minggu depan otw nonton dreamis sendirian di cgv walopun ppkm tp main sendirian tuh seruuu;netral
Telah dilaksanakan giat operasi YustisiPenyekatan Pelaksanaan PPKM LEVEL 1 dan Monitoring BBM di SPBU  di wilayah Kecamatan Gondang sampai saat ini wilayah Kecamatan Gondang dalam keadaan aman;netral
Gaada tips soalnya gue sukanya juga ppkm kalo dateng ke tempat baru;netral
Flu memiliki tingkat kematian lebih tinggi daripada korona tetapi respon mrk dlm menanggapi memiliki gejala jauh lebih buruk s…;negatif
hmm ppkm lagi;negatif
Asliii jadi nya ppkm;negatif
Negara lain udh bbs covidcm di 2 negara kakak besar n adik kecil masih ppkm;negatif
bandung mah iyaaa ren ppkm 1 katanya gatau klo daerah lain;netral
Dinas kesehatan provinsi DKI Jakarta masih menunggu keputusan kementerian kesehatan RI dan satgas Covid19 pusat apakah status PPKM di DKI Jakarta masih tetap level 1 atau di naikkan ke level 2 karena masih tingginya kasus Covid19 di DKI Jakarta hingga saat ini;netral
yh sabar y lg ppkm mngkin;positif
Kamis tgl 24 November 2022 Pukul 2000 WIB sd selesai Serka Joko Waliman Aiptu Sugiman dan Bripka Yulian melaksanakan kegiatan patroli PPKM level 1 dan Monitoring antrian BBM di SPBU diwilayah Kec Sukodono Anggota Koramil 13Sukodono dalam rangka Pantau Inflasi BBM;netral
Cukup kak kmrn aku lamarannikah abisnya ga sampe 30jt Tapi ya emg gak mevvah yaa sederhana aja karena dr awal emang maunya klo nikah intimate eh dikabulin doanya nikah pas ppkm jd beneran bs intimate wkwkwkkwk;netral
Kasus Covid19 di Indonesia terus mengalami peningkatan kasus jelang akhir tahun inikementerian kesehatan RI belum member…;netral
Kamis 24 November 2022 Pukul 0905 WIB sd selesai Serka Joko Waliman Aiptu Sugiman dan Bripka Riyanto melaksanakan kegiatan patroli PPKM level 1 dan Monitoring antrian BBM di SPBU diwilayah Kec Sukodono Anggota Koramil 13Sukodono dalam rangka Pantau Inflasi BBM;netral
Pada hari  Kamis  tanggal 24 Nofember  2022  Pkl 1915  WIB  sd selesai telah dilaksanakan Giat  patroli dalam rangka  Pelaksanaan PPKM LEVEL    I   dan monitoring  SPBU  di wilayah kecamatan Tanon;netral
dh gw markah siapa tau butuh agar tidak ppkm;netral
clue tambahan  yang statusnya PPKM;netral
Kasus Covid19 di Indonesia terus mengalami peningkatan kasus jelang akhir tahun inikementerian kesehatan RI belum memberikan sinyal untuk menaikkan status PPKM di Indonesia khususnya di pulau Jawa dan Bali yang kasusnya cenderung meningkat jumlahnya terutama DKI Jakarta;netral
Anggota Koramil 18Kalijambe melaksanakan Giat patroli PPKM level 1 diwilayah Kec KalijambeSragen;netral
Malah ppkm anjir;negatif
Kegiatan patroli PPKM level 1 dan Monitoring antrian BBM di SPBU diwilayah KecSragen Anggota Koramil 01Sragen dalam rangka Pantau Inflasi BBM;netral
Menteri kesehatan RI mewacanakan adanya pengetatan mobilitas pada saat liburan panjang akhir tahun pada PPKM level 1 di seluruh Indonesia kasus aktif Covid19 di Indonesia tembus angka 77000 sejak awal tahun ini warga di himbau untuk tidak berpergian jika tidak penting;netral
Indonesia malah PPKM mulai desember;negatif
ppkm dlu yh dibawah ntar diangkut barengan yg lain;netral
